id,weeklyMenuId,dayOfWeek,order
01323acf-f5e5-4dff-a0a7-80b302256538,bd8855dd-6783-4c9f-a2d0-fd329ec1c60c,DOMINGO,7
01e6dfda-bd99-4647-a953-f2acf56a7fea,5304b97e-7ea6-44f7-8ce4-4b6991e9f546,MARTES,2
022b2029-8aa0-4a68-97ee-b2d9b1c175de,25401994-91a2-4033-a5b4-ec4a50c055c4,LUNES,1
1bcd3643-f15d-4a84-852d-f6b95ff657d0,4c4e19d2-619c-4a17-a2be-26bd486f6ea7,JUEVES,4
218aa414-4bb1-4faf-8e05-859f61f9b17e,4c4e19d2-619c-4a17-a2be-26bd486f6ea7,MARTES,2
27157465-1c95-4d81-a638-ee3ee08c557b,bd8855dd-6783-4c9f-a2d0-fd329ec1c60c,LUNES,1
39a712cb-0ca8-4db3-91d2-aeed67290d32,bd8855dd-6783-4c9f-a2d0-fd329ec1c60c,VIERNES,5
3b088d13-6bba-400b-a8e5-52db281944ea,5304b97e-7ea6-44f7-8ce4-4b6991e9f546,MIERCOLES,3
3c0260ec-b6ee-47e3-9b26-7ff0e38e0c15,25401994-91a2-4033-a5b4-ec4a50c055c4,DOMINGO,7
3d39a3fd-8a23-4f04-bc3f-9b1493530923,25401994-91a2-4033-a5b4-ec4a50c055c4,VIERNES,5
3e8164ad-0f76-4fee-9fed-426a6132968d,b43e1db9-34ac-487e-b5ba-05e5000d52b2,VIERNES,5
41d5e388-dadf-400e-840c-acc35fdd84c3,bd8855dd-6783-4c9f-a2d0-fd329ec1c60c,JUEVES,4
55c7b1c3-e92e-46b1-8603-14286b78d10f,5304b97e-7ea6-44f7-8ce4-4b6991e9f546,SABADO,6
66f42701-36ce-45c0-a00c-a54857b3509a,b43e1db9-34ac-487e-b5ba-05e5000d52b2,MARTES,2
7b9fa1d4-5bd6-432e-9b56-1e69f8ee0aa8,4c4e19d2-619c-4a17-a2be-26bd486f6ea7,DOMINGO,7
82a1f569-4617-459c-966d-92ea1483317a,4c4e19d2-619c-4a17-a2be-26bd486f6ea7,LUNES,1
83ec3337-7f93-460d-8616-c5f81246c0df,b43e1db9-34ac-487e-b5ba-05e5000d52b2,JUEVES,4
891e4707-3034-4c5f-9877-f1ea22f64650,b43e1db9-34ac-487e-b5ba-05e5000d52b2,DOMINGO,7
893d4ab8-d019-4398-a7ca-4f1c6960a3b9,4c4e19d2-619c-4a17-a2be-26bd486f6ea7,SABADO,6
8d72b230-96ed-46c8-abb7-2b1571508af4,25401994-91a2-4033-a5b4-ec4a50c055c4,JUEVES,4
994b3135-e536-4944-9df4-a01d39061668,5304b97e-7ea6-44f7-8ce4-4b6991e9f546,DOMINGO,7
9f0e3c83-13d3-4f6e-bffb-7b9076437ba1,5304b97e-7ea6-44f7-8ce4-4b6991e9f546,VIERNES,5
a1eec57c-ebca-46be-9274-c75bdea0a94d,b43e1db9-34ac-487e-b5ba-05e5000d52b2,MIERCOLES,3
b1754cf4-2d22-4d24-93ce-5bbac0bc8808,bd8855dd-6783-4c9f-a2d0-fd329ec1c60c,MARTES,2
b2d51722-2b2b-43be-8862-f0c316b7a875,bd8855dd-6783-4c9f-a2d0-fd329ec1c60c,MIERCOLES,3
be52c899-9b8e-4a52-bd77-a3428cec9d40,25401994-91a2-4033-a5b4-ec4a50c055c4,MARTES,2
caa7f791-2c11-4852-bcb8-d27e489268d6,4c4e19d2-619c-4a17-a2be-26bd486f6ea7,VIERNES,5
cf233714-c03f-4e1a-94d7-ac4d01650554,5304b97e-7ea6-44f7-8ce4-4b6991e9f546,LUNES,1
d1a2a2ca-cd7a-4235-99fe-b1662e61d687,bd8855dd-6783-4c9f-a2d0-fd329ec1c60c,SABADO,6
d9e4265c-8d94-4d4e-82d1-2c52feba9428,25401994-91a2-4033-a5b4-ec4a50c055c4,SABADO,6
eb5e8b32-016d-4f44-a073-4b3fcdbc9160,b43e1db9-34ac-487e-b5ba-05e5000d52b2,SABADO,6
ee692ca4-80de-4fa8-a78a-071572ade3cc,4c4e19d2-619c-4a17-a2be-26bd486f6ea7,MIERCOLES,3
f03f1557-2c93-4e47-b02b-ce4caf98010f,b43e1db9-34ac-487e-b5ba-05e5000d52b2,LUNES,1
f2693348-f997-4b14-ac42-0222a92653d0,5304b97e-7ea6-44f7-8ce4-4b6991e9f546,JUEVES,4
ffd5c19e-eb33-4f3e-98f0-7b8effc93d61,25401994-91a2-4033-a5b4-ec4a50c055c4,MIERCOLES,3
